C000  4C F5 C5  JMP $C5F5                       A:00 X:00 Y:00 P:24 SP:FD CYC:  0
C5F5  A2 00     LDX #$00                        A:00 X:00 Y:00 P:24 SP:FD CYC:  9
C5F7  86 00     STX $00 = 00                    A:00 X:00 Y:00 P:26 SP:FD CYC: 15
F52C  8D 47 06  STA $0647 = 14                  A:37 X:FF Y:FD P:25 SP:FB CYC: 98
F52F  20 40     JSR $FB40                       A:37 X:FF Y:FD P:25 SP:FB CYC:110
FB40  24 01     BIT $01 = FF                    A:37 X:FF Y:FD P:25 SP:F9 CYC:128
FB42  38        SEC                             A:37 X:FF Y:FD P:E5 SP:F9 CYC:137
FB43  A9 75     LDA #$75                        A:37 X:FF Y:FD P:E5 SP:F9 CYC:143
FB45  60 50     RTS                             A:75 X:FF Y:FD P:65 SP:F9 CYC:149
F532  5F 48 05 *SRE $0548,X                     A:75 X:FF Y:FD P:65 SP:FB CYC:167
F535  EA        NOP                             A:6E X:FF Y:FD P:65 SP:FB CYC:188
F536  EA        NOP                             A:6E X:FF Y:FD P:65 SP:FB CYC:194
F537  EA        NOP                             A:6E X:FF Y:FD P:65 SP:FB CYC:200
F538  EA        NOP                             A:6E X:FF Y:FD P:65 SP:FB CYC:206
F539  20 46     JSR $FB46                       A:6E X:FF Y:FD P:65 SP:FB CYC:212
FB46  50 2D     BVC                             A:6E X:FF Y:FD P:65 SP:F9 CYC:230
FB48  F0 2B     BEQ                             A:6E X:FF Y:FD P:65 SP:F9 CYC:236
FB4A  30 29     BMI                             A:6E X:FF Y:FD P:65 SP:F9 CYC:242
FB4C  90 27     BCC                             A:6E X:FF Y:FD P:65 SP:F9 CYC:248
FB4E  C9 6E     CMP #$6E                        A:6E X:FF Y:FD P:65 SP:F9 CYC:254
FB50  D0 23     BNE                             A:6E X:FF Y:FD P:67 SP:F9 CYC:260
FB52  60 24     RTS                             A:6E X:FF Y:FD P:67 SP:F9 CYC:266
F53C  AD 47 06  LDA $0647                       A:6E X:FF Y:FD P:67 SP:FB CYC:284
F53F  C9 1B     CMP #$1B                        A:1B X:FF Y:FD P:65 SP:FB CYC:296
F541  F0 02     BEQ                             A:1B X:FF Y:FD P:67 SP:FB CYC:302
F545  60 A9     RTS                             A:1B X:FF Y:FD P:67 SP:FB CYC:311
C64A  A5 00     LDA $00                         A:1B X:FF Y:FD P:67 SP:FD CYC:329
C64C  85 11     STA $11 = 00                    A:00 X:FF Y:FD P:67 SP:FD CYC:338
C64E  A9 00     LDA #$00                        A:00 X:FF Y:FD P:67 SP:FD CYC:  6
C650  85 00     STA $00 = 00                    A:00 X:FF Y:FD P:67 SP:FD CYC: 12
C652  20 46     JSR $F546                       A:00 X:FF Y:FD P:67 SP:FD CYC: 21
F546  A9 FF     LDA #$FF                        A:00 X:FF Y:FD P:67 SP:FB CYC: 39
F548  85 01     STA $01 = FF                    A:FF X:FF Y:FD P:E5 SP:FB CYC: 45
F54A  A0 01     LDY #$01                        A:FF X:FF Y:FD P:E5 SP:FB CYC: 54
F54C  A2 02     LDX #$02                        A:FF X:FF Y:01 P:65 SP:FB CYC: 60
F54E  A9 47     LDA #$47                        A:FF X:02 Y:01 P:65 SP:FB CYC: 66
F550  85 47     STA $47 = 1B                    A:47 X:02 Y:01 P:65 SP:FB CYC: 72
F552  A9 06     LDA #$06                        A:47 X:02 Y:01 P:65 SP:FB CYC: 81
F554  85 48     STA $48 = 06                    A:06 X:02 Y:01 P:65 SP:FB CYC: 87
F556  A9 A5     LDA #$A5                        A:06 X:02 Y:01 P:65 SP:FB CYC: 96
F558  8D 47 06  STA $0647 = 1B                  A:A5 X:02 Y:01 P:E5 SP:FB CYC:102
F55B  20 E9     JSR $FAE9                       A:A5 X:02 Y:01 P:E5 SP:FB CYC:114
FAE9  24 01     BIT $01 = FF                    A:A5 X:02 Y:01 P:E5 SP:F9 CYC:132
FAEB  18        CLC                             A:A5 X:02 Y:01 P:E5 SP:F9 CYC:141
FAEC  A9 B2     LDA #$B2                        A:A5 X:02 Y:01 P:E4 SP:F9 CYC:147
FAEE  60 70     RTS                             A:B2 X:02 Y:01 P:E4 SP:F9 CYC:153
F55E  63 45    *RRA $(45,X)                     A:B2 X:02 Y:01 P:E4 SP:FB CYC:171
F560  EA        NOP                             A:05 X:02 Y:01 P:25 SP:FB CYC:177
F561  EA        NOP                             A:05 X:02 Y:01 P:25 SP:FB CYC:183
F562  EA        NOP                             A:05 X:02 Y:01 P:25 SP:FB CYC:189
F563  EA        NOP                             A:05 X:02 Y:01 P:25 SP:FB CYC:195
F564  20 EF     JSR $FAEF                       A:05 X:02 Y:01 P:25 SP:FB CYC:201
FAEF  70 2A     BVS                             A:05 X:02 Y:01 P:25 SP:F9 CYC:219
FAF1  90 28     BCC                             A:05 X:02 Y:01 P:25 SP:F9 CYC:225
FAF3  30 26     BMI                             A:05 X:02 Y:01 P:25 SP:F9 CYC:231
FAF5  C9 05     CMP #$05                        A:05 X:02 Y:01 P:25 SP:F9 CYC:237
FAF7  D0 22     BNE                             A:05 X:02 Y:01 P:27 SP:F9 CYC:243
FAF9  60 B8     RTS                             A:05 X:02 Y:01 P:27 SP:F9 CYC:249
F567  AD 47 06  LDA $0647                       A:05 X:02 Y:01 P:27 SP:FB CYC:267
F56A  C9 52     CMP #$52                        A:52 X:02 Y:01 P:25 SP:FB CYC:279
F56C  F0 02     BEQ                             A:52 X:02 Y:01 P:27 SP:FB CYC:285
F570  C8        INY                             A:52 X:02 Y:01 P:27 SP:FB CYC:294
F571  A9 29     LDA #$29                        A:52 X:02 Y:02 P:25 SP:FB CYC:300
F573  8D 47 06  STA $0647 = 52                  A:29 X:02 Y:02 P:25 SP:FB CYC:306
F576  20 FA     JSR $FAFA                       A:29 X:02 Y:02 P:25 SP:FB CYC:318
FAFA  B8        CLV                             A:29 X:02 Y:02 P:25 SP:F9 CYC:336
FAFB  18        CLC                             A:29 X:02 Y:02 P:25 SP:F9 CYC:  1
FAFC  A9 42     LDA #$42                        A:29 X:02 Y:02 P:24 SP:F9 CYC:  7
FAFE  60 70     RTS                             A:42 X:02 Y:02 P:24 SP:F9 CYC: 13
F579  63 45    *RRA $(45,X)                     A:42 X:02 Y:02 P:24 SP:FB CYC: 31
F57B  EA        NOP                             A:57 X:02 Y:02 P:24 SP:FB CYC: 37
F57C  EA        NOP                             A:57 X:02 Y:02 P:24 SP:FB CYC: 43
F57D  EA        NOP                             A:57 X:02 Y:02 P:24 SP:FB CYC: 49
F57E  EA        NOP                             A:57 X:02 Y:02 P:24 SP:FB CYC: 55
F57F  20 FF     JSR $FAFF                       A:57 X:02 Y:02 P:24 SP:FB CYC: 61
FAFF  70 1A     BVS                             A:57 X:02 Y:02 P:24 SP:F9 CYC: 79
FB01  30 18     BMI                             A:57 X:02 Y:02 P:24 SP:F9 CYC: 85
FB03  B0 16     BCS                             A:57 X:02 Y:02 P:24 SP:F9 CYC: 91
FB05  C9 57     CMP #$57                        A:57 X:02 Y:02 P:24 SP:F9 CYC: 97
FB07  D0 12     BNE                             A:57 X:02 Y:02 P:27 SP:F9 CYC:103
FB09  60 24     RTS                             A:57 X:02 Y:02 P:27 SP:F9 CYC:109
F582  AD 47 06  LDA $0647                       A:57 X:02 Y:02 P:27 SP:FB CYC:127
F585  C9 14     CMP #$14                        A:14 X:02 Y:02 P:25 SP:FB CYC:139
F587  F0 02     BEQ                             A:14 X:02 Y:02 P:27 SP:FB CYC:145
F58B  C8        INY                             A:14 X:02 Y:02 P:27 SP:FB CYC:154
F58C  A9 37     LDA #$37                        A:14 X:02 Y:03 P:25 SP:FB CYC:160
F58E  8D 47 06  STA $0647 = 14                  A:37 X:02 Y:03 P:25 SP:FB CYC:166
F591  20 0A     JSR $FB0A                       A:37 X:02 Y:03 P:25 SP:FB CYC:178
FB0A  24 01     BIT $01 = FF                    A:37 X:02 Y:03 P:25 SP:F9 CYC:196
FB0C  38        SEC                             A:37 X:02 Y:03 P:E5 SP:F9 CYC:205
FB0D  A9 75     LDA #$75                        A:37 X:02 Y:03 P:E5 SP:F9 CYC:211
FB0F  60 70     RTS                             A:75 X:02 Y:03 P:65 SP:F9 CYC:217
F594  63 45    *RRA $(45,X)                     A:75 X:02 Y:03 P:65 SP:FB CYC:235
F596  EA        NOP                             A:11 X:02 Y:03 P:25 SP:FB CYC:241
F597  EA        NOP                             A:11 X:02 Y:03 P:25 SP:FB CYC:247
F598  EA        NOP                             A:11 X:02 Y:03 P:25 SP:FB CYC:253
F599  EA        NOP                             A:11 X:02 Y:03 P:25 SP:FB CYC:259
F59A  20 10     JSR $FB10                       A:11 X:02 Y:03 P:25 SP:FB CYC:265
FB10  70 09     BVS                             A:11 X:02 Y:03 P:25 SP:F9 CYC:283
FB12  30 07     BMI                             A:11 X:02 Y:03 P:25 SP:F9 CYC:289
FB14  90 05     BCC                             A:11 X:02 Y:03 P:25 SP:F9 CYC:295
FB16  C9 11     CMP #$11                        A:11 X:02 Y:03 P:25 SP:F9 CYC:301
FB18  D0 01     BNE                             A:11 X:02 Y:03 P:27 SP:F9 CYC:307
FB1A  60 85     RTS                             A:11 X:02 Y:03 P:27 SP:F9 CYC:313
F59D  AD 47 06  LDA $0647                       A:11 X:02 Y:03 P:27 SP:FB CYC:331
F5A0  C9 9B     CMP #$9B                        A:9B X:02 Y:03 P:A5 SP:FB CYC:  2
F5A2  F0 02     BEQ                             A:9B X:02 Y:03 P:27 SP:FB CYC:  8
F5A6  C8        INY                             A:9B X:02 Y:03 P:27 SP:FB CYC: 17
F5A7  A9 A5     LDA #$A5                        A:9B X:02 Y:04 P:25 SP:FB CYC: 23
F5A9  85 47     STA $47 = 47                    A:A5 X:02 Y:04 P:A5 SP:FB CYC: 29
F5AB  20 E9     JSR $FAE9                       A:A5 X:02 Y:04 P:A5 SP:FB CYC: 38
FAE9  24 01     BIT $01 = FF                    A:A5 X:02 Y:04 P:A5 SP:F9 CYC: 56
FAEB  18        CLC                             A:A5 X:02 Y:04 P:E5 SP:F9 CYC: 65
FAEC  A9 B2     LDA #$B2                        A:A5 X:02 Y:04 P:E4 SP:F9 CYC: 71
FAEE  60 70     RTS                             A:B2 X:02 Y:04 P:E4 SP:F9 CYC: 77
F5AE  67 47    *RRA $47                         A:B2 X:02 Y:04 P:E4 SP:FB CYC: 95
F5B0  EA        NOP                             A:05 X:02 Y:04 P:25 SP:FB CYC:110
F5B1  EA        NOP                             A:05 X:02 Y:04 P:25 SP:FB CYC:116
F5B2  EA        NOP                             A:05 X:02 Y:04 P:25 SP:FB CYC:122
F5B3  EA        NOP                             A:05 X:02 Y:04 P:25 SP:FB CYC:128
F5B4  20 EF     JSR $FAEF                       A:05 X:02 Y:04 P:25 SP:FB CYC:134
FAEF  70 2A     BVS                             A:05 X:02 Y:04 P:25 SP:F9 CYC:152
FAF1  90 28     BCC                             A:05 X:02 Y:04 P:25 SP:F9 CYC:158
FAF3  30 26     BMI                             A:05 X:02 Y:04 P:25 SP:F9 CYC:164
FAF5  C9 05     CMP #$05                        A:05 X:02 Y:04 P:25 SP:F9 CYC:170
FAF7  D0 22     BNE                             A:05 X:02 Y:04 P:27 SP:F9 CYC:176
FAF9  60 B8     RTS                             A:05 X:02 Y:04 P:27 SP:F9 CYC:182
F5B7  A5 47     LDA $47                         A:05 X:02 Y:04 P:27 SP:FB CYC:200
F5B9  C9 52     CMP #$52                        A:52 X:02 Y:04 P:25 SP:FB CYC:209
F5BB  F0 02     BEQ                             A:52 X:02 Y:04 P:27 SP:FB CYC:215
F5BF  C8        INY                             A:52 X:02 Y:04 P:27 SP:FB CYC:224
F5C0  A9 29     LDA #$29                        A:52 X:02 Y:05 P:25 SP:FB CYC:230
F5C2  85 47     STA $47 = 52                    A:29 X:02 Y:05 P:25 SP:FB CYC:236
F5C4  20 FA     JSR $FAFA                       A:29 X:02 Y:05 P:25 SP:FB CYC:245
FAFA  B8        CLV                             A:29 X:02 Y:05 P:25 SP:F9 CYC:263
FAFB  18        CLC                             A:29 X:02 Y:05 P:25 SP:F9 CYC:269
FAFC  A9 42     LDA #$42                        A:29 X:02 Y:05 P:24 SP:F9 CYC:275
FAFE  60 70     RTS                             A:42 X:02 Y:05 P:24 SP:F9 CYC:281
F5C7  67 47    *RRA $47                         A:42 X:02 Y:05 P:24 SP:FB CYC:299
F5C9  EA        NOP                             A:57 X:02 Y:05 P:24 SP:FB CYC:314
F5CA  EA        NOP                             A:57 X:02 Y:05 P:24 SP:FB CYC:320
F5CB  EA        NOP                             A:57 X:02 Y:05 P:24 SP:FB CYC:326
F5CC  EA        NOP                             A:57 X:02 Y:05 P:24 SP:FB CYC:332
F5CD  20 FF     JSR $FAFF                       A:57 X:02 Y:05 P:24 SP:FB CYC:338
FAFF  70 1A     BVS                             A:57 X:02 Y:05 P:24 SP:F9 CYC: 15
FB01  30 18     BMI                             A:57 X:02 Y:05 P:24 SP:F9 CYC: 21
FB03  B0 16     BCS                             A:57 X:02 Y:05 P:24 SP:F9 CYC: 27
FB05  C9 57     CMP #$57                        A:57 X:02 Y:05 P:24 SP:F9 CYC: 33
FB07  D0 12     BNE                             A:57 X:02 Y:05 P:27 SP:F9 CYC: 39
FB09  60 24     RTS                             A:57 X:02 Y:05 P:27 SP:F9 CYC: 45
F5D0  A5 47     LDA $47                         A:57 X:02 Y:05 P:27 SP:FB CYC: 63
F5D2  C9 14     CMP #$14                        A:14 X:02 Y:05 P:25 SP:FB CYC: 72
F5D4  F0 02     BEQ                             A:14 X:02 Y:05 P:27 SP:FB CYC: 78
F5D8  C8        INY                             A:14 X:02 Y:05 P:27 SP:FB CYC: 87
F5D9  A9 37     LDA #$37                        A:14 X:02 Y:06 P:25 SP:FB CYC: 93
F5DB  85 47     STA $47 = 14                    A:37 X:02 Y:06 P:25 SP:FB CYC: 99
F5DD  20 0A     JSR $FB0A                       A:37 X:02 Y:06 P:25 SP:FB CYC:108
FB0A  24 01     BIT $01 = FF                    A:37 X:02 Y:06 P:25 SP:F9 CYC:126
FB0C  38        SEC                             A:37 X:02 Y:06 P:E5 SP:F9 CYC:135
FB0D  A9 75     LDA #$75                        A:37 X:02 Y:06 P:E5 SP:F9 CYC:141
FB0F  60 70     RTS                             A:75 X:02 Y:06 P:65 SP:F9 CYC:147
F5E0  67 47    *RRA $47                         A:75 X:02 Y:06 P:65 SP:FB CYC:165
F5E2  EA        NOP                             A:11 X:02 Y:06 P:25 SP:FB CYC:180
F5E3  EA        NOP                             A:11 X:02 Y:06 P:25 SP:FB CYC:186
F5E4  EA        NOP                             A:11 X:02 Y:06 P:25 SP:FB CYC:192
F5E5  EA        NOP                             A:11 X:02 Y:06 P:25 SP:FB CYC:198
F5E6  20 10     JSR $FB10                       A:11 X:02 Y:06 P:25 SP:FB CYC:204
FB10  70 09     BVS                             A:11 X:02 Y:06 P:25 SP:F9 CYC:222
FB12  30 07     BMI                             A:11 X:02 Y:06 P:25 SP:F9 CYC:228
FB14  90 05     BCC                             A:11 X:02 Y:06 P:25 SP:F9 CYC:234
FB16  C9 11     CMP #$11                        A:11 X:02 Y:06 P:25 SP:F9 CYC:240
FB18  D0 01     BNE                             A:11 X:02 Y:06 P:27 SP:F9 CYC:246
FB1A  60 85     RTS                             A:11 X:02 Y:06 P:27 SP:F9 CYC:252
F5E9  A5 47     LDA $47                         A:11 X:02 Y:06 P:27 SP:FB CYC:270
F5EB  C9 9B     CMP #$9B                        A:9B X:02 Y:06 P:A5 SP:FB CYC:279
F5ED  F0 02     BEQ                             A:9B X:02 Y:06 P:27 SP:FB CYC:285
F5F1  C8        INY                             A:9B X:02 Y:06 P:27 SP:FB CYC:294
F5F2  A9 A5     LDA #$A5                        A:9B X:02 Y:07 P:25 SP:FB CYC:300
F5F4  8D 47 06  STA $0647 = 9B                  A:A5 X:02 Y:07 P:A5 SP:FB CYC:306
F5F7  20 E9     JSR $FAE9                       A:A5 X:02 Y:07 P:A5 SP:FB CYC:318
FAE9  24 01     BIT $01 = FF                    A:A5 X:02 Y:07 P:A5 SP:F9 CYC:336
FAEB  18        CLC                             A:A5 X:02 Y:07 P:E5 SP:F9 CYC:  4
FAEC  A9 B2     LDA #$B2                        A:A5 X:02 Y:07 P:E4 SP:F9 CYC: 10
FAEE  60 70     RTS                             A:B2 X:02 Y:07 P:E4 SP:F9 CYC: 16
F5FA  6F 47 06 *RRA $0647                       A:B2 X:02 Y:07 P:E4 SP:FB CYC: 34
F5FD  EA        NOP                             A:05 X:02 Y:07 P:25 SP:FB CYC: 52
F5FE  EA        NOP                             A:05 X:02 Y:07 P:25 SP:FB CYC: 58
F5FF  EA        NOP                             A:05 X:02 Y:07 P:25 SP:FB CYC: 64
F600  EA        NOP                             A:05 X:02 Y:07 P:25 SP:FB CYC: 70
F601  20 EF     JSR $FAEF                       A:05 X:02 Y:07 P:25 SP:FB CYC: 76
FAEF  70 2A     BVS                             A:05 X:02 Y:07 P:25 SP:F9 CYC: 94
FAF1  90 28     BCC                             A:05 X:02 Y:07 P:25 SP:F9 CYC:100
FAF3  30 26     BMI                             A:05 X:02 Y:07 P:25 SP:F9 CYC:106
FAF5  C9 05     CMP #$05                        A:05 X:02 Y:07 P:25 SP:F9 CYC:112
FAF7  D0 22     BNE                             A:05 X:02 Y:07 P:27 SP:F9 CYC:118
FAF9  60 B8     RTS                             A:05 X:02 Y:07 P:27 SP:F9 CYC:124
F604  AD 47 06  LDA $0647                       A:05 X:02 Y:07 P:27 SP:FB CYC:142
F607  C9 52     CMP #$52                        A:52 X:02 Y:07 P:25 SP:FB CYC:154
F609  F0 02     BEQ                             A:52 X:02 Y:07 P:27 SP:FB CYC:160
F60D  C8        INY                             A:52 X:02 Y:07 P:27 SP:FB CYC:169
F60E  A9 29     LDA #$29                        A:52 X:02 Y:08 P:25 SP:FB CYC:175
F610  8D 47 06  STA $0647 = 52                  A:29 X:02 Y:08 P:25 SP:FB CYC:181
F613  20 FA     JSR $FAFA                       A:29 X:02 Y:08 P:25 SP:FB CYC:193
FAFA  B8        CLV                             A:29 X:02 Y:08 P:25 SP:F9 CYC:211
FAFB  18        CLC                             A:29 X:02 Y:08 P:25 SP:F9 CYC:217
FAFC  A9 42     LDA #$42                        A:29 X:02 Y:08 P:24 SP:F9 CYC:223
FAFE  60 70     RTS                             A:42 X:02 Y:08 P:24 SP:F9 CYC:229
F616  6F 47 06 *RRA $0647                       A:42 X:02 Y:08 P:24 SP:FB CYC:247
F619  EA        NOP                             A:57 X:02 Y:08 P:24 SP:FB CYC:265
F61A  EA        NOP                             A:57 X:02 Y:08 P:24 SP:FB CYC:271
F61B  EA        NOP                             A:57 X:02 Y:08 P:24 SP:FB CYC:277
F61C  EA        NOP                             A:57 X:02 Y:08 P:24 SP:FB CYC:283
F61D  20 FF     JSR $FAFF                       A:57 X:02 Y:08 P:24 SP:FB CYC:289
FAFF  70 1A     BVS                             A:57 X:02 Y:08 P:24 SP:F9 CYC:307
FB01  30 18     BMI                             A:57 X:02 Y:08 P:24 SP:F9 CYC:313
FB03  B0 16     BCS                             A:57 X:02 Y:08 P:24 SP:F9 CYC:319
FB05  C9 57     CMP #$57                        A:57 X:02 Y:08 P:24 SP:F9 CYC:325
FB07  D0 12     BNE                             A:57 X:02 Y:08 P:27 SP:F9 CYC:331
FB09  60 24     RTS                             A:57 X:02 Y:08 P:27 SP:F9 CYC:337
F620  AD 47 06  LDA $0647                       A:57 X:02 Y:08 P:27 SP:FB CYC: 14
F623  C9 14     CMP #$14                        A:14 X:02 Y:08 P:25 SP:FB CYC: 26
F625  F0 02     BEQ                             A:14 X:02 Y:08 P:27 SP:FB CYC: 32
F629  C8        INY                             A:14 X:02 Y:08 P:27 SP:FB CYC: 41
F62A  A9 37     LDA #$37                        A:14 X:02 Y:09 P:25 SP:FB CYC: 47
F62C  8D 47 06  STA $0647 = 14                  A:37 X:02 Y:09 P:25 SP:FB CYC: 53
F62F  20 0A     JSR $FB0A                       A:37 X:02 Y:09 P:25 SP:FB CYC: 65
FB0A  24 01     BIT $01 = FF                    A:37 X:02 Y:09 P:25 SP:F9 CYC: 83
FB0C  38        SEC                             A:37 X:02 Y:09 P:E5 SP:F9 CYC: 92
FB0D  A9 75     LDA #$75                        A:37 X:02 Y:09 P:E5 SP:F9 CYC: 98
FB0F  60 70     RTS                             A:75 X:02 Y:09 P:65 SP:F9 CYC:104
F632  6F 47 06 *RRA $0647                       A:75 X:02 Y:09 P:65 SP:FB CYC:122
F635  EA        NOP                             A:11 X:02 Y:09 P:25 SP:FB CYC:140
F636  EA        NOP                             A:11 X:02 Y:09 P:25 SP:FB CYC:146
F637  EA        NOP                             A:11 X:02 Y:09 P:25 SP:FB CYC:152
F638  EA        NOP                             A:11 X:02 Y:09 P:25 SP:FB CYC:158
F639  20 10     JSR $FB10                       A:11 X:02 Y:09 P:25 SP:FB CYC:164
FB10  70 09     BVS                             A:11 X:02 Y:09 P:25 SP:F9 CYC:182
FB12  30 07     BMI                             A:11 X:02 Y:09 P:25 SP:F9 CYC:188
FB14  90 05     BCC                             A:11 X:02 Y:09 P:25 SP:F9 CYC:194
FB16  C9 11     CMP #$11                        A:11 X:02 Y:09 P:25 SP:F9 CYC:200
FB18  D0 01     BNE                             A:11 X:02 Y:09 P:27 SP:F9 CYC:206
FB1A  60 85     RTS                             A:11 X:02 Y:09 P:27 SP:F9 CYC:212
F63C  AD 47 06  LDA $0647                       A:11 X:02 Y:09 P:27 SP:FB CYC:230
F63F  C9 9B     CMP #$9B                        A:9B X:02 Y:09 P:A5 SP:FB CYC:242
F641  F0 02     BEQ                             A:9B X:02 Y:09 P:27 SP:FB CYC:248
F645  A9 A5     LDA #$A5                        A:9B X:02 Y:09 P:27 SP:FB CYC:257
F647  8D 47 06  STA $0647 = 9B                  A:A5 X:02 Y:09 P:A5 SP:FB CYC:263
F64A  A9 48     LDA #$48                        A:A5 X:02 Y:09 P:A5 SP:FB CYC:275
F64C  85 45     STA $45 = 48                    A:48 X:02 Y:09 P:25 SP:FB CYC:281
F64E  A9 05     LDA #$05                        A:48 X:02 Y:09 P:25 SP:FB CYC:290
F650  85 46     STA $46 = 05                    A:05 X:02 Y:09 P:25 SP:FB CYC:296
F652  A0 FF     LDY #$FF                        A:05 X:02 Y:09 P:25 SP:FB CYC:305
F654  20 E9     JSR $FAE9                       A:05 X:02 Y:FF P:A5 SP:FB CYC:311
FAE9  24 01     BIT $01 = FF                    A:05 X:02 Y:FF P:A5 SP:F9 CYC:329
FAEB  18        CLC                             A:05 X:02 Y:FF P:E5 SP:F9 CYC:338
FAEC  A9 B2     LDA #$B2                        A:05 X:02 Y:FF P:E4 SP:F9 CYC:  3
FAEE  60 70     RTS                             A:B2 X:02 Y:FF P:E4 SP:F9 CYC:  9
F657  73 45    *RRA $(45),Y                     A:B2 X:02 Y:FF P:E4 SP:FB CYC: 27
F659  EA        NOP                             A:05 X:02 Y:FF P:25 SP:FB CYC: 33
F65A  EA        NOP                             A:05 X:02 Y:FF P:25 SP:FB CYC: 39
F65B  08        PHP                             A:05 X:02 Y:FF P:25 SP:FB CYC: 45
F65C  48        PHA                             A:05 X:02 Y:FF P:25 SP:FA CYC: 54
F65D  A0 0A     LDY #$0A                        A:05 X:02 Y:FF P:25 SP:F9 CYC: 63
F65F  68        PLA                             A:05 X:02 Y:0A P:25 SP:F9 CYC: 69
F660  28        PLP                             A:05 X:02 Y:0A P:25 SP:FA CYC: 81
F661  20 EF     JSR $FAEF                       A:05 X:02 Y:0A P:25 SP:FB CYC: 93
FAEF  70 2A     BVS                             A:05 X:02 Y:0A P:25 SP:F9 CYC:111
FAF1  90 28     BCC                             A:05 X:02 Y:0A P:25 SP:F9 CYC:117
FAF3  30 26     BMI                             A:05 X:02 Y:0A P:25 SP:F9 CYC:123
FAF5  C9 05     CMP #$05                        A:05 X:02 Y:0A P:25 SP:F9 CYC:129
FAF7  D0 22     BNE                             A:05 X:02 Y:0A P:27 SP:F9 CYC:135
FAF9  60 B8     RTS                             A:05 X:02 Y:0A P:27 SP:F9 CYC:141
F664  AD 47 06  LDA $0647                       A:05 X:02 Y:0A P:27 SP:FB CYC:159
F667  C9 52     CMP #$52                        A:52 X:02 Y:0A P:25 SP:FB CYC:171
F669  F0 02     BEQ                             A:52 X:02 Y:0A P:27 SP:FB CYC:177
F66D  A0 FF     LDY #$FF                        A:52 X:02 Y:0A P:27 SP:FB CYC:186
F66F  A9 29     LDA #$29                        A:52 X:02 Y:FF P:A5 SP:FB CYC:192
F671  8D 47 06  STA $0647 = 52                  A:29 X:02 Y:FF P:25 SP:FB CYC:198
F674  20 FA     JSR $FAFA                       A:29 X:02 Y:FF P:25 SP:FB CYC:210
FAFA  B8        CLV                             A:29 X:02 Y:FF P:25 SP:F9 CYC:228
FAFB  18        CLC                             A:29 X:02 Y:FF P:25 SP:F9 CYC:234
FAFC  A9 42     LDA #$42                        A:29 X:02 Y:FF P:24 SP:F9 CYC:240
FAFE  60 70     RTS                             A:42 X:02 Y:FF P:24 SP:F9 CYC:246
F677  73 45    *RRA $(45),Y                     A:42 X:02 Y:FF P:24 SP:FB CYC:264
F679  EA        NOP                             A:57 X:02 Y:FF P:24 SP:FB CYC:270
F67A  EA        NOP                             A:57 X:02 Y:FF P:24 SP:FB CYC:276
F67B  08        PHP                             A:57 X:02 Y:FF P:24 SP:FB CYC:282
F67C  48        PHA                             A:57 X:02 Y:FF P:24 SP:FA CYC:291
F67D  A0 0B     LDY #$0B                        A:57 X:02 Y:FF P:24 SP:F9 CYC:300
F67F  68        PLA                             A:57 X:02 Y:0B P:24 SP:F9 CYC:306
F680  28        PLP                             A:57 X:02 Y:0B P:24 SP:FA CYC:318
F681  20 FF     JSR $FAFF                       A:57 X:02 Y:0B P:24 SP:FB CYC:330
FAFF  70 1A     BVS                             A:57 X:02 Y:0B P:24 SP:F9 CYC:  7
FB01  30 18     BMI                             A:57 X:02 Y:0B P:24 SP:F9 CYC: 13
FB03  B0 16     BCS                             A:57 X:02 Y:0B P:24 SP:F9 CYC: 19
FB05  C9 57     CMP #$57                        A:57 X:02 Y:0B P:24 SP:F9 CYC: 25
FB07  D0 12     BNE                             A:57 X:02 Y:0B P:27 SP:F9 CYC: 31
FB09  60 24     RTS                             A:57 X:02 Y:0B P:27 SP:F9 CYC: 37
F684  AD 47 06  LDA $0647                       A:57 X:02 Y:0B P:27 SP:FB CYC: 55
F687  C9 14     CMP #$14                        A:14 X:02 Y:0B P:25 SP:FB CYC: 67
F689  F0 02     BEQ                             A:14 X:02 Y:0B P:27 SP:FB CYC: 73
F68D  A0 FF     LDY #$FF                        A:14 X:02 Y:0B P:27 SP:FB CYC: 82
F68F  A9 37     LDA #$37                        A:14 X:02 Y:FF P:A5 SP:FB CYC: 88
F691  8D 47 06  STA $0647 = 14                  A:37 X:02 Y:FF P:25 SP:FB CYC: 94
F694  20 0A     JSR $FB0A                       A:37 X:02 Y:FF P:25 SP:FB CYC:106
FB0A  24 01     BIT $01 = FF                    A:37 X:02 Y:FF P:25 SP:F9 CYC:124
FB0C  38        SEC                             A:37 X:02 Y:FF P:E5 SP:F9 CYC:133
FB0D  A9 75     LDA #$75                        A:37 X:02 Y:FF P:E5 SP:F9 CYC:139
FB0F  60 70     RTS                             A:75 X:02 Y:FF P:65 SP:F9 CYC:145
F697  73 45    *RRA $(45),Y                     A:75 X:02 Y:FF P:65 SP:FB CYC:163
F699  EA        NOP                             A:11 X:02 Y:FF P:25 SP:FB CYC:169
F69A  EA        NOP                             A:11 X:02 Y:FF P:25 SP:FB CYC:175
F69B  08        PHP                             A:11 X:02 Y:FF P:25 SP:FB CYC:181
F69C  48        PHA                             A:11 X:02 Y:FF P:25 SP:FA CYC:190
